,formatted_address,replies,views,views_replies_ratio,last_posted_at,recency,latitude,longitude,replies_score,views_score,recency_score,views_replies_ratio_score,total_score
1120,"Residensi Gombak, 126, Jalan Gombak, Taman Setapak, 53000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",86,17084,0.005033949894638258,2019-12-23,212.0,3.2120917999999996,101.708203,7,8,8,2,504
1121,"Residensi Harmoni 2 7, No 1, Persiaran Prima Pelangi, Bukit Prima Pelangi, 51200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",269,49328,0.007148803274278396,2020-07-14,1011.0,3.1784304,101.6444852,9,9,6,3,81
1122,"Residensi Lili, Jalan Bucida Hijauan 1/1, Taman Bucida Hijauan, 71800 Nilai, Negeri Sembilan, Malaysia",98,14855,0.0065971053517334234,2019-09-29,297.0,2.8362636,101.7605712,7,7,8,3,504
1123,"Residensi Vogue Suites, 1, 3, Jalan Bangsar, KL Eco City, 59200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",1962,237461,0.008262409406176173,2020-07-14,8.0,3.1169924,101.67353790000001,10,10,10,4,120
1124,"Rhythm Avenue, Usj 19, 47630 Subang Jaya, Selangor, Malaysia",36,4572,0.007935206364277185,2014-09-22,2955.5,3.032142,101.588693,6,6,2,4,36
1125,"Ria Amaniah Mulia, Jalan Amaniah Mulia 5, Taman Amaniah Mulia, 68100 Batu Caves, Selangor, Malaysia",26,3895,0.006675224646983312,2017-08-11,1076.0,3.2380037,101.6754907,5,6,6,3,20
1126,"Ritze Perdana, 1, Jalan PJU 8/2, Damansara Perdana, 47820 Petaling Jaya, Selangor, Malaysia",18,1561,0.011531069827033953,2015-10-26,1731.0,3.166611,101.605068,5,4,5,5,20
1127,"Rumbia, Singapore 543162",108,15747,0.006858449228424462,2020-07-11,11.0,1.3915101,103.9059682,8,8,10,3,144
1128,"SHOP LOT, Kampung Sungai Udang, 41100 Klang, Selangor, Malaysia",3,540,0.005555555555555556,2013-06-06,2603.0,3.0442755,101.417148,2,2,2,2,4
1129,"SJ 231 BP Newtown Apartment, Jalan BP 7/16, Bandar Bukit, 47100 Puchong, Selangor, Malaysia",27,3497,0.007720903631684301,2013-02-13,2716.0,2.987006,101.62122,5,5,2,3,20
1130,"SS 2, Petaling Jaya, Selangor, Malaysia",157,18325,0.008567530695770804,2015-07-19,1830.0,3.12026,101.6222681,8,8,4,4,144
1131,"SS7, 47301 Petaling Jaya, Selangor, Malaysia",411,76217,0.009117787643168057,2020-05-28,127.0,3.1041528,101.5915816,9,9,9,4,81
1132,"Salak Selatan New Village, Jalan 38, Sungai Besi, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",258,36676,0.007034573017777293,2019-11-05,260.0,3.083456,101.698039,9,9,8,3,81
1133,"Salak South, Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",17,884,0.019230769230769232,2016-05-13,1531.0,3.1049256,101.7055173,5,3,5,5,20
1134,"San Francisco, CA, USA",0,294,0.0,2013-10-22,2465.0,37.7749295,-122.4194155,1,1,3,1,10
1135,"Saujana Rawang, 48000 Rawang, Selangor, Malaysia",267,43963,0.006073288902031254,2014-09-11,2141.0,3.3395462999999994,101.5156483,9,9,3,3,81
1136,"Sea Park, 46300 Petaling Jaya, Selangor, Malaysia",12,774,0.015503875968992248,2012-12-20,2771.0,3.1089,101.62175,4,3,2,5,320
1137,"Second Link Expy, Malaysia",42,3872,0.01084710743801653,2012-06-20,2954.0,1.4712331,103.6083505,6,6,2,5,36
1138,"Section 17, Shah Alam, Selangor, Malaysia",30,5100,0.0058823529411764705,2018-08-28,694.0,3.046361,101.5058311,6,6,7,3,36
1139,"Sekanak Raya, Belakang Padang, Batam City, Riau Islands 29411, Indonesia",5,290,0.017241379310344827,2014-11-30,2061.0,1.1279173,103.87705859999998,3,1,4,5,60
1140,"Seksyen 1 Wangsa Maju, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",487,53796,0.009052717674176518,2020-07-02,20.0,3.2010623,101.7329257,9,9,10,4,81
1141,"Seksyen 13, 40150 Shah Alam, Selangor, Malaysia",112,15190,0.007373271889400922,2020-03-29,115.0,3.0853053,101.5531302,8,8,9,3,144
1142,"Seksyen 14, 40000 Shah Alam, Selangor, Malaysia",9,1485,0.006060606060606061,2018-10-26,635.0,3.074945,101.5184498,3,4,7,3,60
1143,"Seksyen 14, Petaling Jaya, Selangor, Malaysia",15,1553,0.009658725048293626,2012-04-12,3023.0,3.1066882000000002,101.6314212,4,4,2,4,320
1144,"Seksyen 19 Petaling Jaya, 46300 Petaling Jaya, Selangor, Malaysia",27,5510,0.004900181488203267,2018-09-30,661.0,3.1215572,101.62809940000001,5,6,7,2,20
1145,"Seksyen U2, 40150 Shah Alam, Selangor, Malaysia",3,392,0.007653061224489796,2013-07-05,2574.0,3.107929,101.58063979999999,2,1,2,3,4
1146,"Seksyen, 17, Jalan 17/1, Seksyen 17, 46400 Petaling Jaya, Selangor, Malaysia",16,1687,0.00948429164196799,2017-11-04,991.0,3.1251835999999997,101.63887170000001,4,4,6,4,320
1147,"Selangor, Malaysia",51,2743,0.01871131474780676,2017-07-17,1770.0,3.0738379,101.5183469,6,5,5,5,36
1148,"Semenyih, Selangor, Malaysia",327,61195,0.0174698626495363,2015-05-11,2002.5,2.947441,101.8451441,9,9,4,5,81
1149,"Sentral Residences, 1 & 2, Jalan TKS 1, Taman Kajang Sentral, 43000 Kajang, Selangor, Malaysia",213,14813,0.014379261459528793,2016-08-11,1441.0,2.9780879000000002,101.7949005,8,7,5,5,144
1150,"Sentul Pasar, 51000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",80,13748,0.005819028222286878,2020-06-22,30.0,3.1990306,101.69688790000001,7,7,9,2,504
1151,"Sentul West, 51100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",15,2328,0.006443298969072165,2011-12-22,3135.0,3.178789,101.68614290000001,4,5,1,3,320
1152,"Sentul, Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",2,1061,0.001885014137606032,2013-03-23,2678.0,3.2066139,101.68203129999999,2,3,2,1,4
1153,"Seremban, Negeri Sembilan, Malaysia",122,8592,0.014199255121042831,2015-07-28,1821.0,2.725889,101.93782390000001,8,7,4,5,144
1154,"Seri Kembangan, Selangor, Malaysia",171,16792,0.010363802339318096,2016-12-16,1760.5,3.021998,101.70554109999999,8,8,5,4,144
1155,"Seruling Apartment, Jln Astaka 1/KU2, 41050 Klang, Selangor, Malaysia",9,4822,0.0018664454583160513,2018-01-15,919.0,3.092205,101.4538002,3,6,6,1,60
1156,"Setapak Green, 3, Jln Semarak Api, 53000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3202,212353,0.015078666183194964,2011-11-17,3170.0,3.1948054,101.70674050000001,10,10,1,5,120
1157,"Setapak, Selangor, Malaysia",57,8564,0.007771987025755582,2017-11-02,1696.3333333333333,3.2790527000000003,101.7409946,7,7,5,4,504
1158,"Setia Alam, Shah Alam, Selangor, Malaysia",91,8946,0.01087158008912503,2017-02-27,1809.5,3.1017647999999998,101.4555421,7,7,4,5,504
1159,"Setia City Residences @ Setia City, Persiaran Setia Dagang, Alam Nusantara, 40170 Shah Alam, Selangor, Malaysia",259,25415,0.010190832185717097,2020-07-07,15.0,3.1124283,101.45952240000001,9,8,10,4,81
1160,"Setia Ecohill Park, 43500 Semenyih, Selangor, Malaysia",18005,1196132,0.01744235024102434,2017-02-20,2001.7777777777778,2.9235735000000003,101.8427819,10,10,4,5,120
