,name,replies,views,last_posted_at,len_name,weird_characters
237,YTL Fennel Sentul East Defects for 6 months,17,"1,506",2020-06-09 14:22:00,43,False
238,My first home property investment: Flora Damansara,514,"73,123",2020-06-09 10:18:00,50,False
239,Vortex klcc,122,"19,230",2020-06-09 09:24:00,11,False
240,Seri Pajam Project,536,"75,313",2020-06-05 12:57:00,18,False
241,Desa Parkcity - areas for improvement,61,"3,626",2020-06-04 20:25:00,37,False
242,SENTRAL SUITES @ KL SENTRAL,378,"61,568",2020-06-03 09:33:00,27,False
243,Affordable Property for Own Stay near Klang Valley,4,363,2020-06-01 23:12:00,50,False
244,TFDC Asiacorp Berhad,1,127,2020-06-01 00:09:00,20,False
245,GREENFIELD RESIDENCE @ BANDAR SUNWAY,401,"94,584",2020-05-31 23:50:00,36,False
246,NADA ALAM,27,"5,087",2020-05-31 13:27:00,9,False
247,"Palm Spring condo, Kota Damansara",98,"16,905",2020-05-29 23:49:00,33,False
248,SURIA RESIDENCE @ BUKIT JELUTONG ,205,"29,047",2020-05-29 17:44:00,33,False
249,SOUTH LINK RESIDENCE @ BANGSAR SOUTH,950,"164,546",2020-05-29 12:03:00,36,False
250,TROPICANA AVENUE ,"1,255","126,752",2020-05-29 11:59:00,17,False
251,Tenancy Agreement,28,"15,057",2020-05-29 09:56:00,17,False
252,"Axis Ampang - Residence, SoHu, Crown, Atrium","1,038","206,421",2020-05-29 01:14:00,44,False
253,EMPIRE RESIDENCES @ DAMANSARA PERDANA ,903,"173,952",2020-05-28 22:04:00,38,False
254,"ZENITH RESIDENCES, KELANA JAYA ",402,"75,520",2020-05-28 12:51:00,31,False
255,Alam Impian Tari,196,"19,921",2020-05-27 18:41:00,16,False
256,UNA @ PEEL SERVICED APARTMENTS,311,"40,755",2020-05-27 18:07:00,30,False
257,DANAU PERINTIS @ SHAH ALAM 2 ,82,"7,138",2020-05-27 18:00:00,29,False
258,"ILLI KUALA LUMPUR, JALAN CHERAS",74,"9,986",2020-05-27 02:00:00,31,False
259,"TRIO BY SETIA @ BANDAR BUKIT TINGGI, KLANG",353,"40,556",2020-05-26 21:22:00,42,False
260,THE COLONY | THE LUXE BY INFINITUM KUALA LUMPUR,345,"42,662",2020-05-26 20:55:00,47,False
261,MRT Property List from TRX to Sungai Jernih,113,"21,502",2020-05-26 12:20:00,43,False
262,THE HAMILTON @ WANGSA MAJU | RESIDENSI WANGSAMAS,"1,075","140,183",2020-05-26 00:36:00,48,False
263,KENWINGSTON AVENUE @ SUNGAI BESI,435,"64,736",2020-05-25 10:01:00,32,False
266,Scarletz @Jalan Yap Kwan Seng,319,"47,131",2020-05-20 21:39:00,29,False
267,THE ARC@CYBERJAYA ,756,"133,730",2020-05-20 18:38:00,18,False
268,Aman Putri @ Sungai Buloh,74,"8,370",2020-05-19 06:47:00,25,False
269,SKYAWANI 2 | RESIDENCE | SOVO | COMMERCIAL,207,"20,317",2020-05-19 01:18:00,42,False
270,HORIZON SQUARE @ HORIZON VILLAGE OUTLETS,167,"22,833",2020-05-17 23:39:00,40,False
271,THE GRAND SS15 SUBANG JAYA,179,"20,825",2020-05-17 11:39:00,26,False
272,One Damansara,257,"56,476",2020-05-16 18:46:00,13,False
273,House Loan agreement,14,689,2020-05-16 12:59:00,20,False
274,ARMANI SOHO @ SUBANG JAYA,19,"2,488",2020-05-15 23:51:00,25,False
275,The Ruma Residence,48,"10,309",2020-05-15 22:10:00,18,False
277,LOT 15 @ SUBANG JAYA CITY CENTRE,"1,037","97,318",2020-05-09 23:49:00,32,False
278,"THE HOLMES 2, BTR CHERAS | RESIDENSI RAZAKMAS 2",676,"101,071",2020-05-08 14:21:00,47,False
279,Newly launch ALANIS service apartment,12,"2,827",2020-05-06 22:04:00,37,False
281,OASIS CORPORATE PARK | CENTUM | MEDALLA | MERITUS,107,"21,131",2020-05-06 10:09:00,49,False
282,KL METROPOLIS | MET GALLERIA | MET 1 RESIDENCES,351,"48,222",2020-05-06 01:43:00,47,False
283,9 SEPUTEH PHASE 2 | TRIA SEPUTEH,170,"32,423",2020-05-06 01:35:00,32,False
284,GLOMAC RESIDENSI DAMANSARA ,"1,037","141,968",2020-05-05 18:12:00,27,False
285, Residensi Platinum Teratai by PV Setapak. FH,238,"33,743",2020-05-05 09:54:00,45,False
286,D'Prestij Kajang Perdana 3sty Semi-D,16,"1,578",2020-05-04 18:08:00,36,False
287,THE RIDGE @ JALAN AMPANG,26,"5,112",2020-05-02 23:34:00,24,False
288,Desa Idaman Residences,200,"42,004",2020-04-23 23:19:00,22,False
289,Property builded not following design.,120,"6,935",2020-04-23 17:19:00,38,False
290,Kerjaya Prospek@Dutamas,13,"1,079",2020-04-23 11:13:00,23,False
291,Nilai Impian,597,"82,839",2020-04-22 16:12:00,12,False
292,AIRBNB unfriendly condo,277,"23,216",2020-04-21 22:47:00,23,False
293,AVARA SEPUTEH,797,"105,100",2020-04-21 20:08:00,13,False
294,CANOPY HILLS RESIDENCE @ KAJANG,129,"24,151",2020-04-21 00:42:00,31,False
295,99 RESIDENCE @ KL NORTH,243,"34,110",2020-04-20 11:57:00,23,False
296,ONE MAXIM RESIDENCE @ SENTUL KL ,"1,072","86,864",2020-04-20 11:51:00,32,False
